ADR,Name,Frequency,Count
se__C1306341,Mental disability,0.125,174
se__C0034063,Pulmonary oedema,0.125,174
se__C0026826,Hypertonia,0.125,173
se__C0009421,Coma,0.123,171
se__C1167965,Urine output increased,0.123,170
se__C0014868,Oesophagitis,0.123,170
se__C0034065,Pulmonary embolism,0.122,169
se__C0031542,Phlebitis,0.122,169
se__C0149745,Mouth ulceration,0.122,169
se__C0423791,Rash maculo-papular,0.122,169
se__C0424295,Hyperkinesia,0.122,169
se__C0043144,Wheezing,0.121,168
se__C0235146,Euphoric mood,0.121,168
se__C0232849,Bladder pain,0.118,164
se__C0006840,Candida infection,0.118,164
se__C0404521,Vaginal infection,0.118,164
se__C0314719,Dry eye,0.118,163
se__C0026858,Musculoskeletal pain,0.118,163
se__C0521839,Influenza like illness,0.117,162
se__C0268000,Fluid retention,0.117,162
se__C0151539,Blood urea increased,0.115,160
se__C0002874,Aplastic anaemia,0.115,159
se__C0011616,Dermatitis contact,0.114,158
se__C0042024,Urinary incontinence,0.113,157
se__C0085636,Photophobia,0.113,157
se__C0237849,Skin exfoliation,0.112,156
se__C0151825,Bone pain,0.11,153
se__C0020461,Hyperkalaemia,0.11,153
se__C0025222,Melaena,0.11,153
se__C0021368,Inflammation,0.11,153
se__C0014724,Eructation,0.11,152
se__C0042267,Vaginal inflammation,0.109,151
se__C0010692,Cystitis,0.109,151
se__C0403632,Cystitis noninfective,0.107,149
se__C0042384,Vasculitis,0.107,149
se__C0007859,Neck pain,0.107,149
se__C0009319,Colitis,0.107,148
se__C0234458,Abnormal dreams,0.107,148
se__C0497247,Blood pressure increased,0.106,147
se__C0037036,Salivary hypersecretion,0.106,147
se__C0235416,Blood uric acid increased,0.106,147
se__C0028084,Nightmare,0.105,146
se__C0151763,Hepatocellular injury,0.105,146
se__C0231530,Muscle twitching,0.105,146
se__C0023518,Leukocytosis,0.105,146
se__C2363731,Oropharyngeal pain,0.105,146
se__C0019521,Hiccups,0.104,144
se__C0549249,Depressed level of consciousness,0.103,143
se__C0042514,Ventricular tachycardia,0.103,143
se__C1384666,Hearing impaired,0.103,143
se__C0575081,Gait disturbance,0.102,142
se__C0086543,Cataract,0.102,142
se__C0152227,Lacrimation increased,0.102,141
se__C0151828,Injection site pain,0.102,141
se__C1145670,Respiratory failure,0.101,140
se__C0017675,Glossitis,0.1,139
se__C0267596,Rectal haemorrhage,0.099,137
se__C0009938,Contusion,0.099,137
se__C0520966,Coordination abnormal,0.099,137
se__C0020443,Hypercholesterolaemia,0.099,137
se__C0020433,Hyperbilirubinaemia,0.099,137
se__C0013390,Dysmenorrhoea,0.098,136
se__C0017168,Gastrooesophageal reflux disease,0.098,136
se__C0018099,Gout,0.098,136
se__C0948586,Protein urine present,0.098,136
se__C0740394,Hyperuricaemia,0.097,135
se__C0311468,Blood bilirubin increased,0.097,135
se__C0235996,Hepatic enzyme increased,0.097,135
se__C0030232,Pallor,0.097,135
se__C0151907,Skin discolouration,0.097,135
se__C0235710,Chest discomfort,0.097,135
se__C0948525,Musculoskeletal stiffness,0.097,134
se__C0028734,Nocturia,0.097,134
se__C0033687,Proteinuria,0.096,133
se__C0022408,Arthropathy,0.096,133
se__C0004245,Atrioventricular block,0.095,132
se__C0035410,Rhabdomyolysis,0.095,132
se__C0687133,Drug interaction,0.095,132
se__C0006826,Neoplasm malignant,0.095,132
se__C0019348,Herpes simplex,0.094,131
se__C0020598,Hypocalcaemia,0.094,131
se__C0041582,Ulcer,0.094,131
se__C1142412,Vasodilation procedure,0.094,131
se__C0702166,Acne,0.094,130
se__C0028961,Oliguria,0.094,130
se__C0022354,Jaundice cholestatic,0.094,130
se__C0013362,Dysarthria,0.093,129
se__C0024902,Breast pain,0.093,129
se__C0042769,Viral infection,0.093,129
se__C0007642,Cellulitis,0.092,128
se__C0013384,Dyskinesia,0.092,128
se__C0014130,Endocrine disorder,0.092,127
se__C0233414,Disturbance in attention,0.092,127
se__C0151636,Ventricular extrasystoles,0.091,126
se__C0235266,Eye irritation,0.091,126
se__C0005940,Bone disorder,0.089,123
se__C0233632,Thinking abnormal,0.089,123
se__C1527344,Dysphonia,0.088,122
se__C0160390,Liver injury,0.088,122
se__C0002453,Amenorrhoea,0.087,121
se__C0031256,Petechiae,0.087,120
se__C0018939,Blood disorder,0.087,120
se__C0001807,Aggression,0.086,119
se__C0234233,Tenderness,0.086,119
se__C0278134,Sensory loss,0.086,119
se__C0017979,Glycosuria,0.085,118
se__C1260880,Rhinorrhoea,0.085,118
se__C0037822,Speech disorder,0.085,118
se__C0007222,Cardiovascular disorder,0.085,118
se__C0151662,Gamma-glutamyltransferase increased,0.084,116
se__C0003578,Apnoea,0.084,116
se__C2979982,Vaginal haemorrhage,0.083,115
se__C0019360,Herpes zoster,0.082,114
se__C0019079,Haemoptysis,0.082,114
se__C2939147,Feeling hot,0.082,114
se__C0032227,Pleural effusion,0.081,113
se__C0392525,Nephrolithiasis,0.081,112
se__C0026946,Fungal infection,0.081,112
se__C0151744,Myocardial ischaemia,0.081,112
se__C0235378,Hepatotoxicity,0.08,111
se__C0017601,Glaucoma,0.079,110
se__C0040053,Thrombosis,0.079,110
se__C0011206,Delirium,0.079,110
se__C0000833,Abscess,0.079,110
se__C0041349,Tubulointerstitial nephritis,0.079,109
se__C2364111,Ageusia,0.079,109
se__C0340464,Extrasystoles,0.079,109
se__C0233794,Memory impairment,0.078,108
se__C0025323,Menorrhagia,0.078,108
se__C0037299,Skin ulcer,0.078,108
se__C0085641,Rash pustular,0.077,107
se__C0026961,Mydriasis,0.076,106
se__C0015376,Extravasation,0.076,106
se__C0026848,Myopathy,0.076,106
se__C0011615,Dermatitis atopic,0.076,105
se__C0020453,Hyperaesthesia,0.076,105
se__C2363730,Oropharyngeal discomfort,0.076,105
se__C0162119,Haemoglobin decreased,0.075,104
se__C0234913,Rash erythematous,0.075,104
se__C0005779,Coagulopathy,0.075,104
se__C0017574,Gingivitis,0.075,104
se__C0008370,Cholestasis,0.075,104
se__C0002418,Amblyopia,0.075,104
se__C0042510,Ventricular fibrillation,0.074,102
se__C0015371,Extrapyramidal disorder,0.073,101
se__C0005758,Blister,0.073,101
se__C0023066,Laryngospasm,0.072,100
se__C0549373,Laryngeal pain,0.072,100
se__C0018926,Haematemesis,0.072,100
se__C0029882,Otitis media,0.072,100
se__C0001925,Albuminuria,0.071,99
se__C0085612,Ventricular arrhythmia,0.071,99
se__C0027813,Neuritis,0.071,99
se__C0025874,Metrorrhagia,0.071,99
se__C0085624,Burning sensation,0.071,99
se__C0018944,Haematoma,0.071,99
se__C0036454,Scotoma,0.071,98
se__C0020437,Hypercalcaemia,0.071,98
se__C0040409,Tongue disorder,0.071,98
se__C0019209,Hepatomegaly,0.071,98
se__C0027540,Necrosis,0.071,98
se__C0010520,Cyanosis,0.071,98
se__C0030920,Peptic ulcer,0.07,97
se__C0085628,Stupor,0.07,97
se__C1258215,Ileus,0.069,96
se__C0028738,Nystagmus,0.069,96
se__C0011253,Delusion,0.069,96
se__C0023067,Laryngitis,0.069,96
se__C0206062,Interstitial lung disease,0.069,96
se__C0853034,Blood creatine phosphokinase increased,0.068,95
se__C0338831,Mania,0.068,95
se__C0438717,Transaminases increased,0.068,94
se__C0522224,Paralysis,0.068,94
se__C0853692,Blood triglycerides increased,0.068,94
se__C0149871,Deep vein thrombosis,0.068,94
se__C0027796,Neuralgia,0.067,93
se__C0013922,Embolism,0.067,93
se__C0029134,Optic neuritis,0.066,92
se__C0023895,Liver disorder,0.066,92
se__C0006849,Oral candidiasis,0.066,92
se__C0020578,Hyperventilation,0.066,91
se__C0025345,Menstrual disorder,0.066,91
se__C0010709,Cyst,0.066,91
se__C0036508,Seborrhoeic dermatitis,0.065,90
se__C0424000,Suicidal ideation,0.065,90
se__C0040479,Torsade de pointes,0.065,90
se__C0855775,Pulmonary function test decreased,0.065,90
se__C0235063,Respiratory depression,0.064,89
se__C0021843,Intestinal obstruction,0.064,89
se__C0016436,Folliculitis,0.064,89
se__C0020473,Hyperlipidaemia,0.064,89
se__C0023052,Laryngeal oedema,0.064,89
se__C2225524,Breast enlargement,0.063,88
se__C0011551,Depersonalisation,0.063,88
se__C0037383,Sneezing,0.063,88
se__C0020676,Hypothyroidism,0.063,88
se__C0040460,Toothache,0.063,87
se__C1510410,Parosmia,0.063,87
se__C0233471,Flat affect,0.063,87
se__C1456784,Paranoia,0.063,87
se__C0040435,Tooth disorder,0.062,86
se__C0085632,Apathy,0.062,86
se__C0008350,Cholelithiasis,0.062,86
se__C0019572,Hirsutism,0.061,85
se__C0003537,Aphasia,0.061,85
se__C0476273,Respiratory distress,0.061,85
se__C0242184,Hypoxia,0.061,85
se__C0022568,Keratitis,0.061,85
se__C0151723,Hypomagnesaemia,0.061,84
se__C0522055,Electrocardiogram abnormal,0.061,84
se__C0227791,Vaginal discharge,0.061,84
se__C0027339,Nail disorder,0.061,84
se__C0019112,Haemorrhoids,0.06,83
se__C0235660,Galactorrhoea,0.06,83
se__C0086439,Hypokinesia,0.06,83
se__C0151878,Electrocardiogram QT prolonged,0.06,83
se__C0029456,Osteoporosis,0.06,83
se__C0746883,Febrile neutropenia,0.06,83
se__C0039240,Supraventricular tachycardia,0.059,82
se__C0032584,Polyp,0.059,82
se__C0033860,Psoriasis,0.058,81
se__C0853149,Blood lactate dehydrogenase increased,0.058,81
se__C0021177,Libido increased,0.058,81
se__C0836924,Thrombocytosis,0.058,81
se__C0085682,Hypophosphataemia,0.058,80
se__C0085584,Encephalopathy,0.057,79
se__C0392386,Platelet count decreased,0.057,79
se__C0030794,Pelvic pain,0.057,79
se__C0024141,Systemic lupus erythematosus,0.057,79
se__C0016658,Fracture,0.056,78
se__C0156404,Menstruation irregular,0.056,78
se__C0020557,Hypertriglyceridaemia,0.056,78
se__C0005741,Blepharitis,0.056,78
se__C0016655,Multiple fractures,0.056,78
se__C0162834,Skin hyperpigmentation,0.056,78
se__C0333355,Mucosal inflammation,0.056,77
se__C0035243,Respiratory tract infection,0.056,77
se__C0595916,Nephropathy toxic,0.056,77
se__C0017565,Gingival bleeding,0.056,77
se__C1609512,Vulvovaginal mycotic infection,0.056,77
se__C0027066,Myoclonus,0.056,77
se__C0011609,Drug eruption,0.056,77
se__C0024115,Lung disorder,0.056,77
se__C0028081,Night sweats,0.055,76
se__C0853813,Local reaction,0.055,76
se__C0234632,Visual acuity reduced,0.054,75
se__C0456909,Blindness,0.053,74
se__C0085606,Micturition urgency,0.053,74
se__C0020488,Hypernatraemia,0.053,74
se__C0008325,Cholecystitis,0.053,74
se__C0151798,Hepatic necrosis,0.053,73
se__C0151603,Generalised oedema,0.053,73
se__C0151610,Tongue oedema,0.052,72
se__C2242737,Anorectal discomfort,0.052,72
se__C0700345,Vulvovaginal candidiasis,0.052,72
se__C0549622,Sexual dysfunction,0.052,72
se__C0340726,Embolism venous,0.052,72
se__C0239571,Foetor hepaticus,0.051,71
se__C0438142,Urine analysis abnormal,0.05,70
se__C2937358,Cerebral haemorrhage,0.05,70
se__C0007787,Transient ischaemic attack,0.05,70
se__C0024312,Lymphopenia,0.05,70
se__C0038358,Gastric ulcer,0.05,70
se__C0038663,Suicide attempt,0.05,69
se__C0032961,Pregnancy,0.05,69
se__C0152198,Accommodation disorder,0.05,69
se__C0021141,Inappropriate antidiuretic hormone secretion,0.05,69
se__C0852733,Completed suicide,0.049,68
se__C0700184,Throat irritation,0.049,68
se__C0013447,Ear disorder,0.048,67
se__C0015732,Faecal incontinence,0.048,67
se__C1257843,Pseudomembranous colitis,0.048,67
se__C0575090,Balance disorder,0.048,67
se__C0392156,Akathisia,0.048,67
se__C1320474,Nuchal rigidity,0.048,66
se__C0020039,Hostility,0.048,66
se__C0558489,Renal pain,0.047,65
se__C0413252,Hypothermia,0.047,65
se__C0020672,Body temperature decreased,0.047,65
se__C0033117,Priapism,0.047,65
se__C0026827,Hypotonia,0.047,65
se__C0595877,Blood glucose increased,0.047,65
se__C0750394,White blood cell count decreased,0.046,64
se__C0235639,Urine abnormality,0.046,64
se__C0152029,Sinus congestion,0.046,64
se__C0006384,Bundle branch block,0.046,64
se__C0027726,Nephrotic syndrome,0.045,63
se__C0001122,Acidosis,0.045,63
se__C0032326,Pneumothorax,0.045,63
se__C0162835,Leukoderma,0.045,63
se__C0242528,Azotaemia,0.045,63
se__C0152031,Joint swelling,0.045,63
se__C0151479,Amylase increased,0.045,62
se__C0234708,Intraocular pressure increased,0.045,62
se__C0151692,Impaired healing,0.045,62
se__C0027121,Myositis,0.045,62
se__C0034886,Proctalgia,0.045,62
se__C0235896,Lung infiltration,0.044,61
se__C0006444,Bursitis,0.044,61
se__C1142135,Muscle relaxant therapy,0.044,61
se__C0878544,Cardiomyopathy,0.044,61
se__C0085610,Sinus bradycardia,0.044,61
se__C0022658,Nephropathy,0.044,61
se__C0034069,Pulmonary fibrosis,0.043,60
se__C0027849,Neuroleptic malignant syndrome,0.043,60
se__C0026837,Muscle rigidity,0.043,60
se__C0015402,Eye haemorrhage,0.043,60
se__C0242301,Furuncle,0.043,60
se__C0033771,Prurigo,0.043,60
se__C0085096,Peripheral vascular disorder,0.043,60
se__C0151596,Tongue discolouration,0.043,60
se__C0011071,Sudden death,0.043,60
se__C0917798,Cerebral ischaemia,0.043,59
se__C0014236,Endophthalmitis,0.043,59
se__C0687707,Anorectal disorder,0.043,59
se__C0162285,Eyelid oedema,0.043,59
se__C0521591,Paraesthesia oral,0.042,58
se__C0001339,Pancreatitis acute,0.042,58
se__C1291078,Epigastric discomfort,0.042,58
se__C0036830,Serum sickness,0.042,58
se__C0009241,Cognitive disorder,0.042,58
se__C0521491,Application site pain,0.041,57
se__C0152128,Drug withdrawal syndrome,0.041,57
se__C0151889,Hyperreflexia,0.041,57
se__C0151699,Haemorrhage intracranial,0.041,57
se__C0031046,Pericarditis,0.041,57
se__C0332534,Induration,0.041,57
se__C0151740,Intracranial pressure increased,0.041,57
se__C0155169,Ocular hyperaemia,0.041,57
se__C0150450,Altered state of consciousness,0.041,57
se__C0013295,Duodenal ulcer,0.04,56
se__C0277925,Peripheral coldness,0.04,55
se__C0038363,Aphthous stomatitis,0.04,55
se__C0152030,Skin irritation,0.04,55
se__C2973529,Leukocytoclastic vasculitis,0.04,55
se__C0857305,Thrombocytopenic purpura,0.04,55
se__C1761613,Conjunctival hyperaemia,0.039,54
se__C0232431,Cold sweat,0.039,54
se__C0022904,Lacrimal disorder,0.039,54
se__C0022281,Eye pruritus,0.039,54
se__C0004623,Bacterial infection,0.039,54
se__C2981158,Loss of libido,0.039,54
se__C0014743,Erythema nodosum,0.039,54
se__C0546817,Fluid overload,0.038,53
se__C0699744,Ear infection,0.038,53
se__C0744727,Haematocrit decreased,0.038,53
se__C0014544,Epilepsy,0.038,53
se__C0014549,Grand mal convulsion,0.038,53
se__C0151505,Application site reaction,0.038,53
se__C0497327,Dementia,0.038,53
se__C0151872,Prothrombin level increased,0.038,53
se__C0235086,Muscle contractions involuntary,0.038,53
se__C0919980,VIIth nerve paralysis,0.037,52
se__C0497365,Rash generalised,0.037,52
se__C0236071,Throat tightness,0.037,52
se__C0029118,Opportunistic infection,0.037,52
se__C0152459,Skin striae,0.037,52
se__C0019270,Hernia,0.037,52
se__C0025289,Meningitis,0.037,52
se__C0151205,Periorbital oedema,0.037,51
se__C0011630,Fungal skin infection,0.037,51
se__C0344315,Depressed mood,0.037,51
se__C0031212,Personality disorder,0.037,51
se__C0151602,Swelling face,0.037,51
se__C0020555,Hypertrichosis,0.037,51
se__C0151888,Hyporeflexia,0.037,51
se__C0242422,Parkinsonism,0.037,51
se__C0162297,Respiratory arrest,0.037,51
se__C0342579,Electrolyte imbalance,0.036,50
se__C0020550,Hyperthyroidism,0.036,50
se__C0006142,Breast cancer,0.036,50
se__C0007820,Cerebrovascular disorder,0.036,50
se__C0016199,Flank pain,0.036,50
se__C0030446,Ileus paralytic,0.036,50
se__C0033575,Prostatic disorder,0.035,49
se__C0034642,Rales,0.035,49
se__C0235234,Dry throat,0.035,49
se__C0151514,Skin atrophy,0.035,49
se__C0018932,Haematochezia,0.035,49
se__C0031039,Pericardial effusion,0.035,49
se__C0518988,Tooth abscess,0.035,49
se__C1956346,Coronary artery disease,0.035,49
se__C0221201,Rash macular,0.035,49
se__C0029445,Osteonecrosis,0.035,49
se__C0033777,Pruritus genital,0.035,48
se__C0233477,Dysphoria,0.035,48
se__C0392699,Dysaesthesia,0.035,48
se__C0026205,Miosis,0.035,48
se__C0151970,Oesophageal ulcer,0.035,48
se__C0007971,Cheilitis,0.035,48
se__C2242588,Traumatic liver injury,0.035,48
se__C0333641,Atrophy,0.034,47
se__C0232726,Rectal tenesmus,0.034,47
se__C0021167,Incontinence,0.034,47
se__C0428974,Arrhythmia supraventricular,0.034,47
se__C0438215,Laboratory test abnormal,0.034,47
se__C0011334,Dental caries,0.034,47
se__C0149904,Hepatitis cholestatic,0.034,47
se__C0220981,Metabolic acidosis,0.033,46
se__C0035309,Retinal disorder,0.033,46
se__C0013182,Drug hypersensitivity,0.033,46
se__C0003962,Ascites,0.033,46
se__C0152032,Urinary hesitation,0.033,46
se__C0042345,Varicose vein,0.033,46
se__C0231919,Nasal dryness,0.033,46
se__C0039503,Tendonitis,0.033,46
se__C0039239,Sinus tachycardia,0.032,45
se__C0022081,Iritis,0.032,45
se__C0476280,Musculoskeletal chest pain,0.032,45
se__C0475858,Pruritus generalised,0.032,45
se__C0018021,Goitre,0.032,45
se__C0012739,Disseminated intravascular coagulation,0.032,45
se__C0262397,Breast tenderness,0.032,45
se__C0232495,Abdominal pain lower,0.032,44
se__C0235032,Neurotoxicity,0.032,44
se__C0034186,Pyelonephritis,0.032,44
se__C1519353,Rash papular,0.032,44
se__C0600228,Cardio-respiratory arrest,0.032,44
se__C0151717,Skin hypertrophy,0.032,44
se__C0030353,Papilloedema,0.032,44
se__C0151799,Skin necrosis,0.032,44
se__C0853761,Blood potassium decreased,0.032,44
se__C0038587,Withdrawal syndrome,0.032,44
se__C0234894,Dermatitis acneiform,0.032,44
se__C0027697,Nephritis,0.032,44
se__C0700361,Emotional distress,0.032,44
se__C0027932,Neurosis,0.031,43
se__C0004239,Atrial flutter,0.031,43
se__C0000768,Congenital anomaly,0.031,43
se__C0595930,Blood cholesterol increased,0.031,43
se__C0085614,Atrioventricular block first degree,0.031,43
se__C0235490,Peripheral ischaemia,0.031,43
se__C0151734,Injection site inflammation,0.031,43
se__C0424605,Developmental delay,0.031,43
se__C0022116,Ischaemia,0.031,43
se__C0002884,Hypochromic anaemia,0.031,43
se__C0030552,Paresis,0.031,43
se__C0024305,Non-Hodgkin's lymphoma,0.03,42
se__C0948349,Respiratory tract congestion,0.03,42
se__C0231835,Tachypnoea,0.03,42
se__C0858797,Instillation site pain,0.03,42
se__C2697368,Gastrointestinal tract irritation,0.03,42
se__C0024299,Lymphoma,0.03,42
se__C0026857,Musculoskeletal disorder,0.03,41
se__C0686347,Tardive dyskinesia,0.03,41
se__C0018520,Breath odour,0.03,41
se__C0235969,Ejaculation disorder,0.03,41
se__C0039520,Tenosynovitis,0.03,41
se__C3203358,Hypoventilation,0.03,41
se__C0549209,Feeling jittery,0.03,41
se__C0018800,Cardiomegaly,0.03,41
se__C0392676,Hyperpyrexia,0.03,41
se__C0034880,Hyperacusis,0.029,40
se__C0549567,Pigmentation disorder,0.029,40
se__C2711227,Hepatic steatosis,0.029,40
se__C0042134,Uterine haemorrhage,0.029,40
se__C0043387,Yawning,0.029,40
