feature,count_ones
f_646,377
f_358,375
f_699,368
f_16,367
f_542,365
f_387,363
f_638,361
f_241,361
f_594,359
f_666,359
f_396,358
f_248,349
f_555,348
f_403,347
f_482,339
f_472,339
f_560,339
f_506,339
f_539,338
f_523,332
f_654,330
f_536,324
f_3,324
f_431,323
f_604,321
f_567,319
f_777,316
f_593,315
f_597,310
f_33,309
f_450,306
f_818,306
f_797,298
f_259,296
f_672,296
f_691,294
f_667,292
f_639,289
f_357,288
f_293,288
f_487,286
f_682,280
f_530,279
f_602,279
f_476,277
f_521,277
f_565,271
f_353,269
f_589,269
f_626,269
f_447,268
f_576,264
f_493,264
f_636,263
f_662,263
f_373,256
f_432,254
f_690,252
f_491,251
f_798,249
f_519,249
f_445,247
f_580,242
f_674,240
f_681,240
f_702,239
f_596,237
f_714,235
f_379,232
f_37,232
f_776,231
f_623,231
f_663,228
f_821,228
f_577,219
f_642,218
f_581,218
f_484,217
f_695,216
f_244,214
f_258,213
f_334,212
f_693,211
f_21,208
f_294,207
f_435,207
f_615,205
f_819,205
f_711,204
f_342,202
f_372,200
f_150,198
f_758,197
f_755,194
f_701,192
f_632,189
f_620,189
f_389,187
f_368,186
f_550,183
f_199,183
f_504,183
f_572,180
f_337,179
f_249,179
f_462,177
f_537,177
f_685,176
f_735,175
f_591,174
f_412,172
f_193,171
f_507,169
f_438,169
f_13,169
f_243,167
f_349,163
f_23,163
f_590,162
f_703,162
f_287,161
f_547,160
f_586,159
f_144,157
f_362,155
f_261,155
f_501,154
f_499,151
f_598,151
f_673,150
f_686,148
f_705,148
f_386,147
f_383,147
f_503,145
f_531,145
f_860,145
f_153,144
f_700,143
f_485,143
f_188,136
f_756,135
f_800,133
f_385,133
f_779,132
f_734,125
f_658,125
f_251,124
f_242,123
f_532,120
f_840,116
f_458,115
f_459,113
f_861,113
f_824,112
f_213,107
f_624,106
f_612,106
f_378,105
f_399,104
f_527,104
f_661,104
f_250,104
f_563,104
f_694,103
f_601,102
f_457,102
f_400,102
f_414,102
f_152,100
f_737,100
f_839,99
f_300,98
f_34,96
f_707,95
f_605,94
f_544,94
f_716,93
f_761,93
f_500,93
f_301,92
f_397,89
f_621,88
f_610,88
f_465,87
f_17,87
f_187,86
f_515,85
f_24,85
f_305,85
f_630,78
f_227,78
f_395,77
f_260,77
f_687,76
f_713,76
f_421,75
f_367,74
f_38,73
f_206,73
f_652,70
f_364,69
f_359,69
f_22,69
f_575,67
f_489,66
f_488,66
f_780,65
f_803,65
f_480,62
f_347,62
f_157,61
f_423,59
f_422,58
f_200,58
f_483,57
f_517,57
f_784,57
f_533,56
f_647,56
f_805,56
f_717,56
f_336,56
f_363,56
f_30,55
f_801,54
f_115,54
f_514,54
f_411,52
f_314,52
f_467,52
f_494,51
f_456,51
f_650,51
f_425,51
f_822,51
f_216,50
f_129,49
f_230,49
f_559,48
f_588,48
f_160,48
f_738,46
f_826,46
f_625,46
f_721,45
f_742,44
f_215,44
f_454,44
f_759,43
f_132,43
f_475,42
f_558,41
f_159,41
f_644,40
f_508,39
f_361,39
f_131,39
f_398,39
f_513,38
f_343,38
f_486,37
f_740,36
f_522,36
f_653,36
f_116,36
f_471,36
f_473,36
f_609,35
f_543,34
f_833,34
f_419,34
f_770,33
f_461,33
f_812,33
f_496,33
f_631,32
f_455,32
f_401,32
f_813,31
f_750,31
f_229,31
f_394,30
f_388,30
f_195,29
f_429,29
f_551,29
f_729,29
f_164,29
f_518,29
f_792,29
f_477,29
f_474,29
f_568,28
f_815,27
f_830,27
f_407,27
f_292,26
f_752,26
f_778,26
f_767,26
f_715,25
f_26,25
f_167,25
f_427,24
f_782,24
f_207,24
f_417,24
f_511,23
f_791,23
f_214,23
f_35,22
f_788,22
f_820,22
f_46,22
f_763,22
f_725,22
f_166,22
f_408,22
f_706,21
f_757,21
f_827,21
f_676,21
f_749,21
f_728,21
f_466,21
f_460,20
f_622,20
f_409,20
f_298,20
f_43,19
f_25,19
f_350,19
f_118,18
f_719,18
f_448,18
f_616,18
f_262,18
f_785,16
f_866,16
f_194,16
f_722,16
f_428,15
f_799,15
f_47,15
f_505,15
f_31,14
f_771,14
f_497,14
f_330,14
f_413,14
f_327,14
f_736,14
f_297,14
f_834,14
f_635,14
f_764,14
f_436,14
f_328,13
f_510,13
f_675,13
f_670,13
f_509,13
f_554,13
f_27,13
f_202,13
f_789,12
f_151,12
f_726,12
f_583,12
f_831,12
f_768,12
f_845,11
f_529,11
f_836,11
f_629,10
f_526,10
f_773,10
f_587,10
f_479,9
f_228,9
f_171,9
f_561,9
f_842,8
f_808,8
f_39,8
f_468,8
f_745,8
f_58,8
f_201,8
f_106,7
f_304,7
f_648,7
f_809,7
f_348,7
f_173,7
f_174,7
f_130,6
f_746,6
f_481,5
f_743,5
f_52,5
f_739,5
f_806,5
f_48,5
f_492,5
f_220,5
f_863,5
f_868,5
f_802,5
f_44,5
f_360,4
f_410,4
f_823,4
f_730,4
f_793,4
f_720,4
f_718,4
f_478,4
f_781,4
f_783,4
f_760,4
f_139,3
f_41,3
f_136,3
f_122,3
f_4,3
f_234,3
f_223,3
f_62,3
f_810,3
f_794,3
f_669,3
f_649,3
f_804,3
f_787,3
f_724,3
f_741,3
f_747,3
f_825,2
f_751,2
f_404,2
f_731,2
f_762,2
f_754,2
f_59,2
f_209,2
f_765,2
f_772,2
f_222,2
f_814,2
f_66,2
f_65,2
f_847,2
f_69,2
f_85,2
f_534,2
f_93,2
f_138,2
f_94,2
f_835,2
f_99,2
f_828,2
f_123,2
f_817,2
f_117,2
f_113,2
f_6,2
f_36,2
f_274,2
f_276,2
f_5,1
f_32,1
f_744,1
f_331,1
f_786,1
f_309,1
f_77,1
f_40,1
f_96,1
f_42,1
f_158,1
f_45,1
f_723,1
f_125,1
f_63,1
f_124,1
f_50,1
f_64,1
f_57,1
f_317,1
f_70,1
f_104,1
f_323,1
f_807,1
cpi_9606.ENSP00000359074,0
cpi_9606.ENSP00000359174,0
cpi_9606.ENSP00000359035,0
cpi_9606.ENSP00000359151,0
cpi_9606.ENSP00000359121,0
cpi_9606.ENSP00000359114,0
cpi_9606.ENSP00000359100,0
cpi_9606.ENSP00000359096,0
cpi_9606.ENSP00000358571,0
cpi_9606.ENSP00000359085,0
cpi_9606.ENSP00000358565,0
cpi_9606.ENSP00000359019,0
cpi_9606.ENSP00000359073,0
cpi_9606.ENSP00000359025,0
cpi_9606.ENSP00000358563,0
cpi_9606.ENSP00000359095,0
cpi_9606.ENSP00000358549,0
cpi_9606.ENSP00000359206,0
cpi_9606.ENSP00000359024,0
cpi_9606.ENSP00000358770,0
cpi_9606.ENSP00000359211,0
cpi_9606.ENSP00000358497,0
cpi_9606.ENSP00000358423,0
cpi_9606.ENSP00000359446,0
cpi_9606.ENSP00000358424,0
cpi_9606.ENSP00000358464,0
cpi_9606.ENSP00000358470,0
cpi_9606.ENSP00000359444,0
cpi_9606.ENSP00000359424,0
cpi_9606.ENSP00000358474,0
cpi_9606.ENSP00000359393,0
cpi_9606.ENSP00000358490,0
cpi_9606.ENSP00000359380,0
cpi_9606.ENSP00000359353,0
cpi_9606.ENSP00000359345,0
cpi_9606.ENSP00000359334,0
cpi_9606.ENSP00000359233,0
cpi_9606.ENSP00000358501,0
cpi_9606.ENSP00000358511,0
cpi_9606.ENSP00000359329,0
cpi_9606.ENSP00000359301,0
cpi_9606.ENSP00000359300,0
cpi_9606.ENSP00000358525,0
cpi_9606.ENSP00000358547,0
cpi_9606.ENSP00000359297,0
cpi_9606.ENSP00000359290,0
cpi_9606.ENSP00000360905,0
cpi_9606.ENSP00000359258,0
cpi_9606.ENSP00000359245,0
cpi_9606.ENSP00000358548,0
cpi_9606.ENSP00000359285,0
cpi_9606.ENSP00000358983,0
cpi_9606.ENSP00000359013,0
cpi_9606.ENSP00000358865,0
cpi_9606.ENSP00000360968,0
cpi_9606.ENSP00000358921,0
cpi_9606.ENSP00000358919,0
cpi_9606.ENSP00000360973,0
cpi_9606.ENSP00000358730,0
cpi_9606.ENSP00000358747,0
cpi_9606.ENSP00000360985,0
cpi_9606.ENSP00000358903,0
cpi_9606.ENSP00000360991,0
cpi_9606.ENSP00000358896,0
cpi_9606.ENSP00000358894,0
cpi_9606.ENSP00000358867,0
cpi_9606.ENSP00000358866,0
cpi_9606.ENSP00000358862,0
cpi_9606.ENSP00000359000,0
cpi_9606.ENSP00000358763,0
cpi_9606.ENSP00000358765,0
cpi_9606.ENSP00000358857,0
cpi_9606.ENSP00000358831,0
cpi_9606.ENSP00000358814,0
cpi_9606.ENSP00000358813,0
cpi_9606.ENSP00000358812,0
cpi_9606.ENSP00000358810,0
cpi_9606.ENSP00000358802,0
cpi_9606.ENSP00000358794,0
cpi_9606.ENSP00000358786,0
cpi_9606.ENSP00000358784,0
cpi_9606.ENSP00000358783,0
cpi_9606.ENSP00000360967,0
cpi_9606.ENSP00000358727,0
cpi_9606.ENSP00000360966,0
cpi_9606.ENSP00000360958,0
cpi_9606.ENSP00000358576,0
cpi_9606.ENSP00000358595,0
cpi_9606.ENSP00000358997,0
cpi_9606.ENSP00000358994,0
cpi_9606.ENSP00000358777,0
cpi_9606.ENSP00000358967,0
cpi_9606.ENSP00000360916,0
cpi_9606.ENSP00000358963,0
cpi_9606.ENSP00000358951,0
cpi_9606.ENSP00000358596,0
cpi_9606.ENSP00000358622,0
cpi_9606.ENSP00000360918,0
cpi_9606.ENSP00000358635,0
cpi_9606.ENSP00000360922,0
cpi_9606.ENSP00000360938,0
cpi_9606.ENSP00000358640,0
cpi_9606.ENSP00000358674,0
cpi_9606.ENSP00000359478,0
cpi_9606.ENSP00000360939,0
cpi_9606.ENSP00000358695,0
cpi_9606.ENSP00000360944,0
cpi_9606.ENSP00000358696,0
cpi_9606.ENSP00000358698,0
cpi_9606.ENSP00000358945,0
cpi_9606.ENSP00000358931,0
cpi_9606.ENSP00000358716,0
cpi_9606.ENSP00000358719,0
cpi_9606.ENSP00000359454,0
cpi_9606.ENSP00000360329,0
cpi_9606.ENSP00000359483,0
cpi_9606.ENSP00000360124,0
cpi_9606.ENSP00000360576,0
cpi_9606.ENSP00000360569,0
cpi_9606.ENSP00000360060,0
cpi_9606.ENSP00000360107,0
cpi_9606.ENSP00000360116,0
cpi_9606.ENSP00000360561,0
cpi_9606.ENSP00000360120,0
cpi_9606.ENSP00000360129,0
cpi_9606.ENSP00000360540,0
cpi_9606.ENSP00000360133,0
cpi_9606.ENSP00000360141,0
cpi_9606.ENSP00000360147,0
cpi_9606.ENSP00000360560,0
cpi_9606.ENSP00000360549,0
cpi_9606.ENSP00000360541,0
cpi_9606.ENSP00000360154,0
cpi_9606.ENSP00000360577,0
cpi_9606.ENSP00000360034,0
cpi_9606.ENSP00000360025,0
cpi_9606.ENSP00000360021,0
cpi_9606.ENSP00000360644,0
cpi_9606.ENSP00000360635,0
cpi_9606.ENSP00000359925,0
cpi_9606.ENSP00000359928,0
cpi_9606.ENSP00000359939,0
cpi_9606.ENSP00000359976,0
cpi_9606.ENSP00000360626,0
cpi_9606.ENSP00000360621,0
cpi_9606.ENSP00000360613,0
cpi_9606.ENSP00000359990,0
cpi_9606.ENSP00000359991,0
cpi_9606.ENSP00000359998,0
cpi_9606.ENSP00000360608,0
cpi_9606.ENSP00000360020,0
cpi_9606.ENSP00000360597,0
cpi_9606.ENSP00000360157,0
cpi_9606.ENSP00000360538,0
cpi_9606.ENSP00000359899,0
cpi_9606.ENSP00000360286,0
cpi_9606.ENSP00000360250,0
cpi_9606.ENSP00000360255,0
cpi_9606.ENSP00000360262,0
cpi_9606.ENSP00000360266,0
cpi_9606.ENSP00000360268,0
cpi_9606.ENSP00000360269,0
cpi_9606.ENSP00000360270,0
cpi_9606.ENSP00000360290,0
cpi_9606.ENSP00000360532,0
cpi_9606.ENSP00000360296,0
cpi_9606.ENSP00000360305,0
cpi_9606.ENSP00000360310,0
cpi_9606.ENSP00000360316,0
cpi_9606.ENSP00000360372,0
cpi_9606.ENSP00000360317,0
cpi_9606.ENSP00000360366,0
cpi_9606.ENSP00000360247,0
cpi_9606.ENSP00000360231,0
cpi_9606.ENSP00000360217,0
cpi_9606.ENSP00000360216,0
cpi_9606.ENSP00000360525,0
cpi_9606.ENSP00000360519,0
cpi_9606.ENSP00000360158,0
cpi_9606.ENSP00000360163,0
cpi_9606.ENSP00000360165,0
cpi_9606.ENSP00000360502,0
cpi_9606.ENSP00000360493,0
cpi_9606.ENSP00000360483,0
cpi_9606.ENSP00000360473,0
cpi_9606.ENSP00000360472,0
cpi_9606.ENSP00000360406,0
cpi_9606.ENSP00000360398,0
cpi_9606.ENSP00000360183,0
cpi_9606.ENSP00000360195,0
cpi_9606.ENSP00000360200,0
cpi_9606.ENSP00000359910,0
cpi_9606.ENSP00000359892,0
cpi_9606.ENSP00000359484,0
cpi_9606.ENSP00000360822,0
cpi_9606.ENSP00000360860,0
cpi_9606.ENSP00000360855,0
cpi_9606.ENSP00000360829,0
cpi_9606.ENSP00000359563,0
cpi_9606.ENSP00000359567,0
cpi_9606.ENSP00000359573,0
cpi_9606.ENSP00000360828,0
cpi_9606.ENSP00000360821,0
cpi_9606.ENSP00000359643,0
cpi_9606.ENSP00000360817,0
cpi_9606.ENSP00000359603,0
cpi_9606.ENSP00000359607,0
cpi_9606.ENSP00000359609,0
cpi_9606.ENSP00000360806,0
cpi_9606.ENSP00000360798,0
cpi_9606.ENSP00000360782,0
cpi_9606.ENSP00000359552,0
cpi_9606.ENSP00000359540,0
cpi_9606.ENSP00000359539,0
cpi_9606.ENSP00000360869,0
cpi_9606.ENSP00000360891,0
cpi_9606.ENSP00000359490,0
cpi_9606.ENSP00000359497,0
cpi_9606.ENSP00000359504,0
cpi_9606.ENSP00000360327,0
cpi_9606.ENSP00000359506,0
cpi_9606.ENSP00000359507,0
cpi_9606.ENSP00000359520,0
cpi_9606.ENSP00000360882,0
cpi_9606.ENSP00000360876,0
cpi_9606.ENSP00000359525,0
cpi_9606.ENSP00000359526,0
cpi_9606.ENSP00000359531,0
cpi_9606.ENSP00000360874,0
cpi_9606.ENSP00000359532,0
cpi_9606.ENSP00000359635,0
cpi_9606.ENSP00000359663,0
cpi_9606.ENSP00000360645,0
cpi_9606.ENSP00000360687,0
cpi_9606.ENSP00000360718,0
cpi_9606.ENSP00000360690,0
cpi_9606.ENSP00000360689,0
cpi_9606.ENSP00000359799,0
cpi_9606.ENSP00000359804,0
cpi_9606.ENSP00000359848,0
cpi_9606.ENSP00000360688,0
cpi_9606.ENSP00000358417,0
cpi_9606.ENSP00000360777,0
cpi_9606.ENSP00000360683,0
cpi_9606.ENSP00000359859,0
cpi_9606.ENSP00000359864,0
cpi_9606.ENSP00000359866,0
cpi_9606.ENSP00000360676,0
cpi_9606.ENSP00000360671,0
cpi_9606.ENSP00000360664,0
cpi_9606.ENSP00000359793,0
cpi_9606.ENSP00000359729,0
cpi_9606.ENSP00000359727,0
cpi_9606.ENSP00000360727,0
cpi_9606.ENSP00000359664,0
cpi_9606.ENSP00000360776,0
cpi_9606.ENSP00000359665,0
cpi_9606.ENSP00000359680,0
cpi_9606.ENSP00000359682,0
cpi_9606.ENSP00000360773,0
cpi_9606.ENSP00000359685,0
cpi_9606.ENSP00000360762,0
cpi_9606.ENSP00000360761,0
cpi_9606.ENSP00000359688,0
cpi_9606.ENSP00000359691,0
cpi_9606.ENSP00000359693,0
cpi_9606.ENSP00000359699,0
cpi_9606.ENSP00000359719,0
cpi_9606.ENSP00000360730,0
cpi_9606.ENSP00000358421,0
cpi_9606.ENSP00000356792,0
cpi_9606.ENSP00000358414,0
cpi_9606.ENSP00000356563,0
cpi_9606.ENSP00000356785,0
cpi_9606.ENSP00000356771,0
cpi_9606.ENSP00000356744,0
cpi_9606.ENSP00000356729,0
cpi_9606.ENSP00000356723,0
cpi_9606.ENSP00000356713,0
cpi_9606.ENSP00000356694,0
cpi_9606.ENSP00000356687,0
cpi_9606.ENSP00000356671,0
cpi_9606.ENSP00000356658,0
cpi_9606.ENSP00000356623,0
cpi_9606.ENSP00000356591,0
cpi_9606.ENSP00000356587,0
cpi_9606.ENSP00000356574,0
cpi_9606.ENSP00000356562,0
cpi_9606.ENSP00000356791,0
cpi_9606.ENSP00000356552,0
cpi_9606.ENSP00000356549,0
cpi_9606.ENSP00000356545,0
cpi_9606.ENSP00000360997,0
cpi_9606.ENSP00000355895,0
cpi_9606.ENSP00000355896,0
cpi_9606.ENSP00000356540,0
cpi_9606.ENSP00000356530,0
cpi_9606.ENSP00000356529,0
cpi_9606.ENSP00000356520,0
cpi_9606.ENSP00000356515,0
cpi_9606.ENSP00000356505,0
cpi_9606.ENSP00000356489,0
cpi_9606.ENSP00000356481,0
cpi_9606.ENSP00000356789,0
cpi_9606.ENSP00000356793,0
cpi_9606.ENSP00000356476,0
cpi_9606.ENSP00000356940,0
cpi_9606.ENSP00000357051,0
cpi_9606.ENSP00000357047,0
cpi_9606.ENSP00000356999,0
cpi_9606.ENSP00000356990,0
cpi_9606.ENSP00000356988,0
cpi_9606.ENSP00000356982,0
cpi_9606.ENSP00000356975,0
cpi_9606.ENSP00000356972,0
cpi_9606.ENSP00000356969,0
cpi_9606.ENSP00000356966,0
cpi_9606.ENSP00000356958,0
cpi_9606.ENSP00000356954,0
cpi_9606.ENSP00000356953,0
cpi_9606.ENSP00000356946,0
cpi_9606.ENSP00000356920,0
cpi_9606.ENSP00000356795,0
cpi_9606.ENSP00000356919,0
cpi_9606.ENSP00000356918,0
cpi_9606.ENSP00000356908,0
cpi_9606.ENSP00000356906,0
cpi_9606.ENSP00000356905,0
cpi_9606.ENSP00000356903,0
cpi_9606.ENSP00000356898,0
cpi_9606.ENSP00000356853,0
cpi_9606.ENSP00000356840,0
cpi_9606.ENSP00000356832,0
cpi_9606.ENSP00000356825,0
cpi_9606.ENSP00000356814,0
cpi_9606.ENSP00000356811,0
cpi_9606.ENSP00000356807,0
cpi_9606.ENSP00000356480,0
cpi_9606.ENSP00000356448,0
cpi_9606.ENSP00000358335,0
cpi_9606.ENSP00000356087,0
cpi_9606.ENSP00000356016,0
cpi_9606.ENSP00000356251,0
cpi_9606.ENSP00000356247,0
cpi_9606.ENSP00000356243,0
cpi_9606.ENSP00000356022,0
cpi_9606.ENSP00000356024,0
cpi_9606.ENSP00000356236,0
cpi_9606.ENSP00000356037,0
cpi_9606.ENSP00000356234,0
cpi_9606.ENSP00000356047,0
cpi_9606.ENSP00000356056,0
cpi_9606.ENSP00000356224,0
cpi_9606.ENSP00000356218,0
cpi_9606.ENSP00000356070,0
cpi_9606.ENSP00000356213,0
cpi_9606.ENSP00000356256,0
cpi_9606.ENSP00000356094,0
cpi_9606.ENSP00000356104,0
cpi_9606.ENSP00000356202,0
cpi_9606.ENSP00000356198,0
cpi_9606.ENSP00000356191,0
cpi_9606.ENSP00000356170,0
cpi_9606.ENSP00000356162,0
cpi_9606.ENSP00000356155,0
cpi_9606.ENSP00000356150,0
cpi_9606.ENSP00000356143,0
cpi_9606.ENSP00000356134,0
cpi_9606.ENSP00000356130,0
cpi_9606.ENSP00000356113,0
cpi_9606.ENSP00000356105,0
cpi_9606.ENSP00000356015,0
cpi_9606.ENSP00000356000,0
cpi_9606.ENSP00000356438,0
cpi_9606.ENSP00000355922,0
cpi_9606.ENSP00000356436,0
cpi_9606.ENSP00000356433,0
cpi_9606.ENSP00000356430,0
cpi_9606.ENSP00000356429,0
cpi_9606.ENSP00000356425,0
cpi_9606.ENSP00000356411,0
cpi_9606.ENSP00000356410,0
cpi_9606.ENSP00000356405,0
cpi_9606.ENSP00000356399,0
cpi_9606.ENSP00000356382,0
cpi_9606.ENSP00000356379,0
cpi_9606.ENSP00000356357,0
cpi_9606.ENSP00000356348,0
cpi_9606.ENSP00000355920,0
cpi_9606.ENSP00000355923,0
cpi_9606.ENSP00000356265,0
cpi_9606.ENSP00000356346,0
cpi_9606.ENSP00000355924,0
cpi_9606.ENSP00000355929,0
cpi_9606.ENSP00000356331,0
cpi_9606.ENSP00000355930,0
cpi_9606.ENSP00000355958,0
cpi_9606.ENSP00000355963,0
cpi_9606.ENSP00000355966,0
cpi_9606.ENSP00000355968,0
cpi_9606.ENSP00000356319,0
cpi_9606.ENSP00000356290,0
cpi_9606.ENSP00000355988,0
cpi_9606.ENSP00000355996,0
cpi_9606.ENSP00000356286,0
cpi_9606.ENSP00000357057,0
cpi_9606.ENSP00000357060,0
cpi_9606.ENSP00000355893,0
cpi_9606.ENSP00000355785,0
cpi_9606.ENSP00000358022,0
cpi_9606.ENSP00000357998,0
cpi_9606.ENSP00000357982,0
cpi_9606.ENSP00000357981,0
cpi_9606.ENSP00000357980,0
cpi_9606.ENSP00000357943,0
cpi_9606.ENSP00000357920,0
cpi_9606.ENSP00000357917,0
cpi_9606.ENSP00000355751,0
cpi_9606.ENSP00000355759,0
cpi_9606.ENSP00000355775,0
cpi_9606.ENSP00000357909,0
cpi_9606.ENSP00000357907,0
cpi_9606.ENSP00000355778,0
cpi_9606.ENSP00000355837,0
cpi_9606.ENSP00000358042,0
cpi_9606.ENSP00000357883,0
cpi_9606.ENSP00000355865,0
cpi_9606.ENSP00000355866,0
cpi_9606.ENSP00000355884,0
cpi_9606.ENSP00000357881,0
cpi_9606.ENSP00000357880,0
cpi_9606.ENSP00000357879,0
cpi_9606.ENSP00000357873,0
cpi_9606.ENSP00000357861,0
cpi_9606.ENSP00000357858,0
cpi_9606.ENSP00000357844,0
cpi_9606.ENSP00000357838,0
cpi_9606.ENSP00000357835,0
cpi_9606.ENSP00000357810,0
cpi_9606.ENSP00000358033,0
cpi_9606.ENSP00000358045,0
cpi_9606.ENSP00000355890,0
cpi_9606.ENSP00000358154,0
cpi_9606.ENSP00000358327,0
cpi_9606.ENSP00000358323,0
cpi_9606.ENSP00000358309,0
cpi_9606.ENSP00000358301,0
cpi_9606.ENSP00000358297,0
cpi_9606.ENSP00000358262,0
cpi_9606.ENSP00000358224,0
cpi_9606.ENSP00000358223,0
cpi_9606.ENSP00000358211,0
cpi_9606.ENSP00000358162,0
cpi_9606.ENSP00000358160,0
cpi_9606.ENSP00000358159,0
cpi_9606.ENSP00000358158,0
cpi_9606.ENSP00000358155,0
cpi_9606.ENSP00000358153,0
cpi_9606.ENSP00000358059,0
cpi_9606.ENSP00000358151,0
cpi_9606.ENSP00000358147,0
cpi_9606.ENSP00000358142,0
cpi_9606.ENSP00000358140,0
cpi_9606.ENSP00000358107,0
cpi_9606.ENSP00000358106,0
cpi_9606.ENSP00000358105,0
cpi_9606.ENSP00000358099,0
cpi_9606.ENSP00000358092,0
cpi_9606.ENSP00000358089,0
cpi_9606.ENSP00000358081,0
cpi_9606.ENSP00000358071,0
cpi_9606.ENSP00000358062,0
cpi_9606.ENSP00000358060,0
cpi_9606.ENSP00000357799,0
cpi_9606.ENSP00000357798,0
cpi_9606.ENSP00000357775,0
cpi_9606.ENSP00000357196,0
cpi_9606.ENSP00000357360,0
cpi_9606.ENSP00000357342,0
cpi_9606.ENSP00000357341,0
cpi_9606.ENSP00000357336,0
cpi_9606.ENSP00000357307,0
cpi_9606.ENSP00000357306,0
cpi_9606.ENSP00000357301,0
cpi_9606.ENSP00000357292,0
cpi_9606.ENSP00000357283,0
cpi_9606.ENSP00000357255,0
cpi_9606.ENSP00000357219,0
cpi_9606.ENSP00000357218,0
cpi_9606.ENSP00000357206,0
cpi_9606.ENSP00000357204,0
cpi_9606.ENSP00000357189,0
cpi_9606.ENSP00000357753,0
cpi_9606.ENSP00000357178,0
cpi_9606.ENSP00000357177,0
cpi_9606.ENSP00000357175,0
cpi_9606.ENSP00000357153,0
cpi_9606.ENSP00000357152,0
cpi_9606.ENSP00000357130,0
cpi_9606.ENSP00000357112,0
cpi_9606.ENSP00000357103,0
cpi_9606.ENSP00000357087,0
cpi_9606.ENSP00000357075,0
cpi_9606.ENSP00000357069,0
cpi_9606.ENSP00000357068,0
cpi_9606.ENSP00000357067,0
cpi_9606.ENSP00000357066,0
cpi_9606.ENSP00000357362,0
cpi_9606.ENSP00000357380,0
cpi_9606.ENSP00000357389,0
cpi_9606.ENSP00000357392,0
cpi_9606.ENSP00000357727,0
cpi_9606.ENSP00000357726,0
cpi_9606.ENSP00000357721,0
cpi_9606.ENSP00000357708,0
cpi_9606.ENSP00000357697,0
cpi_9606.ENSP00000357682,0
cpi_9606.ENSP00000357669,0
cpi_9606.ENSP00000357668,0
cpi_9606.ENSP00000357651,0
cpi_9606.ENSP00000357643,0
cpi_9606.ENSP00000357637,0
cpi_9606.ENSP00000357625,0
cpi_9606.ENSP00000357624,0
cpi_9606.ENSP00000357615,0
cpi_9606.ENSP00000357597,0
cpi_9606.ENSP00000357581,0
cpi_9606.ENSP00000357564,0
cpi_9606.ENSP00000357555,0
cpi_9606.ENSP00000357535,0
cpi_9606.ENSP00000357516,0
cpi_9606.ENSP00000357494,0
cpi_9606.ENSP00000357480,0
cpi_9606.ENSP00000357475,0
cpi_9606.ENSP00000357470,0
cpi_9606.ENSP00000357461,0
cpi_9606.ENSP00000357459,0
cpi_9606.ENSP00000357453,0
cpi_9606.ENSP00000357440,0
cpi_9606.ENSP00000357429,0
cpi_9606.ENSP00000360992,0
CID,0
cpi_9606.ENSP00000360998,0
cpi_9606.ENSP00000364855,0
cpi_9606.ENSP00000364976,0
cpi_9606.ENSP00000364946,0
cpi_9606.ENSP00000364943,0
cpi_9606.ENSP00000364934,0
cpi_9606.ENSP00000364929,0
cpi_9606.ENSP00000364919,0
cpi_9606.ENSP00000364912,0
cpi_9606.ENSP00000364898,0
cpi_9606.ENSP00000364893,0
cpi_9606.ENSP00000364883,0
cpi_9606.ENSP00000364864,0
cpi_9606.ENSP00000364860,0
